ParName   Value   Gradient
SR_parm[1]       16.517  6.29392e-05
recdev_early(1974)      0.53344 -9.36337e-07
recdev_early(1975)     0.528979 -2.13325e-06
recdev_early(1976)     0.510331 -8.24161e-07
recdev_early(1977)     0.780894  3.01927e-06
recdev1(1978)     0.921172  1.18423e-06
recdev1(1979)      1.04395 -1.74143e-06
recdev1(1980)      1.15492  1.19826e-06
recdev1(1981)     0.659984 -2.19674e-06
recdev1(1982)     0.040854  2.15089e-06
recdev1(1983)       1.5517  6.24832e-06
recdev1(1984)     0.310334  1.39252e-07
recdev1(1985)     0.183974 -2.13061e-06
recdev1(1986)    0.0375225 -2.24482e-06
recdev1(1987)     0.836985  4.37313e-07
recdev1(1988)     0.218303  1.55914e-06
recdev1(1989)      0.18196  9.89231e-07
recdev1(1990)     0.239253 -4.28242e-06
recdev1(1991)      1.32492  1.61433e-06
recdev1(1992)      0.89315  1.56624e-06
recdev1(1993)     0.055839 -3.85994e-06
recdev1(1994)   -0.0717442  9.22508e-06
recdev1(1995)    -0.298823  1.11136e-05
recdev1(1996)     0.082143  1.79349e-06
recdev1(1997)    -0.297319  9.22802e-07
recdev1(1998)   -0.0253117  7.89719e-06
recdev1(1999)    -0.280868   1.1941e-05
recdev1(2000)      0.87789    9.709e-06
recdev1(2001)     0.348786  4.62365e-06
recdev1(2002)    -0.232891  1.50157e-05
recdev1(2003)    -0.479331  2.25347e-05
recdev1(2004)     0.982816 -7.86044e-06
recdev1(2005)   -0.0924012  7.72803e-07
recdev1(2006)     -1.25718 -1.43815e-05
recdev1(2007)    -0.919632 -2.24475e-05
recdev1(2008)    -0.631277 -9.77643e-06
recdev1(2009)    -0.444748  1.98974e-06
recdev1(2010)    -0.970799 -9.10315e-06
recdev1(2011)     -1.07787 -1.00807e-05
recdev1(2012)    -0.904581  -2.4666e-06
recdev1(2013)    -0.777669 -3.01935e-06
recdev1(2014)     -1.07719 -2.01853e-06
recdev1(2015)    -0.476624  -6.7074e-06
recdev1(2016)    -0.255906 -1.45075e-06
recdev1(2017)     -1.20413 -1.94808e-07
recdev1(2018)    -0.472491 -2.37237e-07
recdev1(2019)     0.302339 -6.40074e-06
init_F[1]     0.748821  5.97333e-07
Q_parm[1]     0.258387  2.09938e-07
Q_parm[2]     0.156891   3.4645e-06
selparm[2]      1.65511  7.43606e-06
selparm[3]     0.766081 -5.62124e-06
selparm[4]    -0.172909  2.73504e-05
selparm[7]    -0.194506  1.09138e-06
selparm[15]    -0.351355  6.98507e-06
selparm[16]    0.0218307  2.44507e-06
selparm[17]   -0.0325501 -4.96925e-06
selparm[18]    -0.210233 -2.63099e-07
selparm[19]     0.811017  1.50348e-05
selparm[20]    -0.562329  1.18713e-05
selparm[21]    -0.537347  2.04223e-06
selparm[22]     0.514964  1.38628e-06
