"","Estimate","95% Asymptotic Interval"
"Unfished Spawning Biomass (mt)","NA","NA–NA"
"Unfished Age 1+ Biomass (mt)","NA","NA–NA"
"Unfished Recruitment (R0)","NA","NA–NA"
"Spawning Biomass (mt) (2020)","346,826","239,630–454,022"
"Depletion (2020)","72.83","42.52–103.14"
"Reference Points Based SB-99900%","",""
"Proxy Spawning Biomass (mt)(SB-99900%)","290,643","272,887–308,399"
"SPR resulting in SB-99900%","0.461","0.461–0.461"
"Exploitation Rate Resulting in SB-99900%","0.517","0.447–0.586"
"Yield with SPR Based On SB-99900% (mt)","NA","NA–NA"
"Reference Points based on SPR proxy for MSY","",""
"Proxy Spawning Biomass (mt) (SPR-99900)","321,987","302,316–341,658"
"SPR-99900","-99900.000"," NA "
"Exploitation rate corresponding to SPR-99900","0.433","0.377–0.489"
"Yield with SPR-99900 at SB SPR (mt)","NA","NA–NA"
"Reference points based on estimated MSY values","",""
"Spawning Biomass (mt) at MSY (SB MSY)","178,838","167,978–189,698"
"SPR MSY","0.323","0.322–0.324"
"Exploitation rate corresponding to SPR MSY","1.035","0.873–1.197"
"MSY (mt)","NA","NA–NA"
